 	i	P	        T						
	443	2.4138855E+03	5.0000000E+02						
	444	2.5162429E+03	5.0000000E+02						
	445	2.6229404E+03	5.0000000E+02						
	446	2.7341625E+03	5.0000000E+02						
	447	2.8501008E+03	5.0000000E+02						
	448	2.9709551E+03	5.0000000E+02						
	449	3.0969342E+03	5.0000000E+02						
	450	3.2282554E+03	5.0000000E+02						
	451	3.3651449E+03	5.0000000E+02						
	452	3.5078391E+03	5.0000000E+02						
	453	3.6565840E+03	5.0000000E+02						
	454	3.8116362E+03	5.0000000E+02						
	455	3.9732631E+03	5.0000000E+02						
	456	4.1417435E+03	5.0000000E+02						
	457	4.3173682E+03	5.0000000E+02						
	458	4.5004401E+03	5.0000000E+02						
	459	4.6912748E+03	5.0000000E+02						
	460	4.8902016E+03	5.0000000E+02						
	461	5.0975636E+03	5.0000000E+02						
	462	5.3137183E+03	5.0000000E+02						
	463	5.5390391E+03	5.0000000E+02						
	464	5.7739142E+03	5.0000000E+02						
	465	6.0187485E+03	5.0000000E+02						
	466	6.2739648E+03	5.0000000E+02						
	467	6.5400034E+03	5.0000000E+02						
	468	6.8173230E+03	5.0000000E+02						
	469	7.1064018E+03	5.0000000E+02						
	470	7.4077383E+03	5.0000000E+02						
	471	7.7218443E+03	5.0000000E+02						
	472	8.0492787E+03	5.0000000E+02						
	473	8.3905965E+03	5.0000000E+02						
	474	8.7463878E+03	5.0000000E+02						
	475	9.1172658E+03	5.0000000E+02						
	476	9.5038705E+03	5.0000000E+02						
	477	9.9068686E+03	5.0000000E+02						
	478	1.0326955E+04	5.0000000E+02						
	479	1.0764854E+04	5.0000000E+02						
	480	1.1221323E+04	5.0000000E+02						
	481	1.1697147E+04	5.0000000E+02						
	482	1.2193148E+04	5.0000000E+02						
	483	1.2710181E+04	5.0000000E+02						
	484	1.3249138E+04	5.0000000E+02						
	485	1.3810949E+04	5.0000000E+02						
	486	1.4396583E+04	5.0000000E+02						
	487	1.5007049E+04	5.0000000E+02						
	488	1.5643400E+04	5.0000000E+02						
	489	1.6306737E+04	5.0000000E+02						
	490	1.6998200E+04	5.0000000E+02						
	491	1.7718984E+04	5.0000000E+02						
	492	1.8470334E+04	5.0000000E+02						
	493	1.9253542E+04	5.0000000E+02						
	494	2.0069960E+04	5.0000000E+02						
	495	2.0920998E+04	5.0000000E+02						
	496	2.1808122E+04	5.0000000E+02						
	497	2.2732864E+04	5.0000000E+02						
	498	2.3696819E+04	5.0000000E+02						
	499	2.4701622E+04	5.0000000E+02						
	500	2.5749058E+04	5.0000000E+02						
	501	2.6840910E+04	5.0000000E+02						
	502	2.7979061E+04	5.0000000E+02						
	503	2.9165474E+04	5.0000000E+02						
	504	3.0402192E+04	5.0000000E+02						
	505	3.1691355E+04	5.0000000E+02						
	506	3.3035180E+04	5.0000000E+02						
	507	3.4435990E+04	5.0000000E+02						
	508	3.5896200E+04	5.0000000E+02						
	509	3.7418327E+04	5.0000000E+02						
	510	3.9004996E+04	5.0000000E+02						
